Date,Open,High,Low,Close,Adj Close,Volume,Daily Return %,Daily Return
2022-03-19,0.614279,0.838292,0.558077,0.752081,0.752081,4492778.0,,0.2243312892024633
2022-03-20,0.752081,0.842146,0.70313,0.709939,0.709939,5091336.0,-5.603385805518291,-0.0560338580551829
2022-03-21,0.709939,1.115937,0.709939,1.115937,1.115937,7624455.0,,0.5718773021344087
2022-03-22,1.115937,1.797207,1.115937,1.637409,1.637409,42699816.0,,0.4672951967718607
2022-03-23,1.637409,2.181866,1.474598,1.931357,1.931357,47814396.0,,0.179520205397674
2022-03-24,1.931357,2.876289,1.931357,2.493134,2.493134,87116023.0,,0.2908716513829395
2022-03-25,2.493134,3.517369,2.459761,2.651796,2.651796,138231749.0,6.363957974180293,0.0636395797418029
2022-03-26,2.652249,3.375302,2.652249,3.216742,3.216742,74003760.0,,0.2128355972610415
2022-03-27,3.216745,3.85541,2.939427,3.316121,3.316121,60232283.0,3.0893340939365697,0.0308933409393656
2022-03-28,3.317227,3.32641,2.581532,2.883878,2.883878,60823109.0,,-0.1306359197004002
2022-03-29,2.884196,2.922629,2.465866,2.703401,2.703401,41743334.0,-6.268471352154995,-0.0626847135215499
2022-03-30,2.703403,3.583615,2.700449,3.576747,3.576747,69914589.0,,0.3230535735885476
2022-03-31,3.57737,3.792089,3.333143,3.358541,3.358541,67611842.0,-6.117035699410459,-0.0611703569941045
2022-04-01,3.35535,4.141629,3.185515,4.141629,4.141629,68423933.0,,0.234335911305825
2022-04-02,4.138662,4.283844,3.834254,3.866566,3.866566,62972480.0,-6.574491949330481,-0.0657449194933048
2022-04-03,3.865723,3.926543,3.491558,3.642575,3.642575,40856546.0,-5.772477748664354,-0.0577247774866435
2022-04-04,3.642423,3.891037,3.445159,3.844775,3.844775,36754912.0,5.555422860002802,0.055554228600028
2022-04-05,3.844761,3.991041,3.370604,3.370604,3.370604,37737327.0,,-0.1233254810897218
2022-04-06,3.367585,3.448998,2.802734,2.802734,2.802734,39439213.0,,-0.1677317721750156
2022-04-07,2.802068,3.039633,2.628881,2.960879,2.960879,35397131.0,5.66763547494208,0.0566763547494208
2022-04-08,2.961848,3.152046,2.410334,2.443587,2.443587,27656044.0,,-0.1749789320721387
2022-04-09,2.443746,2.46836,2.244844,2.358585,2.358585,26043729.0,-3.4848548089695006,-0.034848548089695
2022-04-10,2.35821,2.368994,2.237227,2.237627,2.237627,16372777.0,-5.113327481437206,-0.051133274814372
2022-04-11,2.23738,2.23738,1.750409,1.797527,1.797527,24916078.0,,-0.1965928898980056
2022-04-12,1.797739,2.06897,1.685774,2.06897,2.06897,28293443.0,,0.1508734026463242
2022-04-13,2.069645,2.359705,2.055412,2.350765,2.350765,27171539.0,,0.1358300578118469
2022-04-14,2.350091,2.355602,2.020587,2.12717,2.12717,24179933.0,-9.485632684010955,-0.0948563268401095
