Date,Open,High,Low,Close,Adj Close,Volume
2022-12-13,165.043091,194.266449,164.979355,186.700684,186.700684,129696
2022-12-14,186.879395,206.512421,180.920364,195.689651,195.689651,100942
2022-12-15,195.679398,200.928375,157.997650,173.590363,173.590363,126749
2022-12-16,173.607910,179.720840,151.532318,152.502853,152.502853,46786
2022-12-17,152.502853,165.411209,149.169327,160.444305,160.444305,25851
2022-12-18,160.444305,166.253662,157.184753,164.787170,164.787170,9388
2022-12-19,164.787170,179.176865,160.601517,170.758728,170.758728,19842
2022-12-20,170.758728,197.709717,170.229767,180.091248,180.091248,38994
2022-12-21,180.082092,201.297760,178.664917,191.668365,191.668365,53815
2022-12-22,191.848129,191.895218,166.838318,183.225693,183.225693,68157
2022-12-23,183.225693,191.684418,182.713852,185.958969,185.958969,17434
2022-12-24,185.955215,198.572113,183.700684,191.815689,191.815689,28016
2022-12-25,191.815689,198.595581,187.669113,187.829071,187.829071,17603
2022-12-26,188.016739,191.943039,184.270966,189.124084,189.124084,7333
2022-12-27,189.239197,193.235764,179.913345,191.013153,191.013153,15346
2022-12-28,191.021698,191.515518,164.090927,164.612167,164.612167,23481
2022-12-29,164.612167,170.598831,145.238083,155.888153,155.888153,42082
2022-12-30,155.888153,155.938568,147.398849,149.058792,149.058792,4657
2022-12-31,148.942383,154.027435,109.026306,128.585602,128.585602,61339
2023-01-01,128.583191,138.417191,116.308418,135.428452,135.428452,29569
2023-01-02,135.428452,144.287766,134.102905,135.924637,135.924637,19291
2023-01-03,135.963547,157.274017,128.406448,153.523895,153.523895,44525
2023-01-04,153.523895,162.778625,147.582336,162.778625,162.778625,38673
2023-01-05,162.685730,176.313995,154.182953,166.393188,166.393188,46957
2023-01-06,166.390182,172.540756,162.407593,172.502731,172.502731,14003
2023-01-07,168.890701,174.641113,167.711182,168.587875,168.587875,19641
2023-01-08,168.514420,170.066742,163.206848,165.809937,165.809937,17810
2023-01-09,165.617035,174.354568,159.604996,160.096268,160.096268,17996
2023-01-10,160.005661,165.989395,153.415680,162.317657,162.317657,18516
2023-01-11,162.317657,162.852249,149.440247,159.785614,159.785614,11878
2023-01-12,167.075684,167.156982,152.397018,156.623886,156.623886,18146
2023-01-13,156.824417,157.075302,139.673050,140.250183,140.250183,34152
2023-01-14,140.282135,164.398285,140.068573,149.535309,149.535309,43540
2023-01-15,149.503830,161.353729,142.376770,151.415192,151.415192,32684
2023-01-16,151.413330,156.630966,141.438232,151.864212,151.864212,16596
2023-01-17,151.864212,154.713425,146.803543,152.092072,152.092072,5376
2023-01-18,151.925842,164.861923,140.654480,143.838104,143.838104,38877
2023-01-19,143.938843,151.965759,136.888870,151.965759,151.965759,10683
2023-01-20,151.939011,163.793762,143.687088,161.147705,161.147705,22675
2023-01-21,161.137894,183.329147,160.626190,171.470276,171.470276,89118
2023-01-22,171.768646,179.490204,164.314957,172.827148,172.827148,48130
2023-01-23,172.556335,179.080185,169.382004,169.779099,169.779099,10383
2023-01-24,169.558441,182.294052,166.672974,167.405930,167.405930,25053
2023-01-25,167.431656,176.742599,157.412827,169.948486,169.948486,24660
2023-01-26,169.945831,176.572708,164.641235,167.772186,167.772186,13371
2023-01-27,167.771378,170.514679,162.567245,166.096649,166.096649,7248
2023-01-28,166.166199,169.094452,162.840378,163.503342,163.503342,4182
2023-01-29,163.503342,180.089325,162.892242,163.132294,163.132294,20329
2023-01-30,163.171494,165.954025,150.110886,152.545547,152.545547,10420
2023-01-31,152.529678,158.833817,139.446533,147.780197,147.780197,19883
2023-02-01,147.738174,157.801468,139.816864,157.366165,157.366165,10396
2023-02-02,157.455582,170.470444,155.669678,160.541779,160.541779,33111
2023-02-03,160.598648,177.344131,156.851395,169.762070,169.762070,37280
2023-02-04,169.734314,188.589615,156.910934,186.246002,186.246002,99484
2023-02-05,186.271637,201.035980,183.035065,189.523590,189.523590,34445
2023-02-06,189.626755,215.286758,188.600235,204.595764,204.595764,50821
2023-02-07,204.366394,279.459717,200.104065,279.322632,279.322632,367255
2023-02-08,279.207886,287.753906,225.788773,232.194778,232.194778,110678
2023-02-09,232.078979,255.325150,214.744873,216.532516,216.532516,109332
2023-02-10,216.525864,291.666687,214.944351,266.270844,266.270844,5554553
2023-02-11,266.252472,298.617767,264.094452,288.558350,288.558350,8854335
2023-02-12,288.316559,326.888580,268.464294,277.510925,277.510925,9649055
2023-02-13,277.461700,295.012390,263.335876,294.612457,294.612457,2700204
2023-02-14,294.843536,326.473267,288.752258,325.666595,325.666595,935693
2023-02-15,325.756683,424.836975,320.283966,406.820343,406.820343,1302903
2023-02-16,406.583649,418.795807,355.222534,377.228699,377.228699,1408867
2023-02-17,378.287842,443.026550,354.522858,408.349670,408.349670,1520591
2023-02-18,408.351227,450.599121,400.984924,424.632324,424.632324,2249061
2023-02-19,424.515015,429.209991,404.319366,413.582367,413.582367,2094252
2023-02-20,401.153687,428.798523,390.786926,400.699280,400.699280,1480220
2023-02-21,401.007172,415.460602,332.231995,355.318604,355.318604,1115735
2023-02-22,355.346313,393.919739,318.790436,391.980804,391.980804,1140968
2023-02-23,391.636871,438.215118,357.149750,360.780640,360.780640,1297671
2023-02-24,360.780640,439.140839,335.292694,371.567596,371.567596,1345252
2023-02-25,371.331818,412.876923,336.860443,384.511383,384.511383,1494797
2023-02-26,384.365814,434.289703,383.319641,434.289703,434.289703,1618685
2023-02-27,434.431671,483.923279,419.574341,466.817200,466.817200,1667054
2023-02-28,466.565704,467.171204,390.979828,413.310822,413.310822,1573850
