Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return %,Daily Return
2019-09-26,1522.96923828125,1540.2132568359375,1499.9000244140625,1516.5106201171875,5337186,0.0,0.0,-0.4240806709498208,-0.0042408067094982
2019-09-27,1515.4373779296875,1547.3612060546875,1502.2890625,1528.739990234375,2583554,0.0,0.0,0.8778067967982183,0.0087780679679821
2019-09-28,1525.9263916015625,1553.47509765625,1508.8140869140625,1525.7178955078125,2243053,0.0,0.0,-0.0136635747895525,-0.0001366357478955
2019-09-29,1526.947998046875,1551.40234375,1511.6739501953125,1528.8665771484375,1602218,0.0,0.0,0.1256479660090954,0.0012564796600909
2019-09-30,1528.8665771484375,1538.6168212890625,1497.364990234375,1513.8780517578125,3023598,0.0,0.0,-0.9803684385972268,-0.0098036843859722
2019-10-01,1509.4625244140625,1549.0062255859375,1489.855224609375,1499.5137939453125,1876107,0.0,0.0,-0.6590909219565991,-0.0065909092195659
2019-10-02,1499.5137939453125,1514.400634765625,1454.5211181640625,1466.4097900390625,892474,0.0,0.0,,-0.0220764917534712
2019-10-03,1466.4097900390625,1505.337646484375,1457.0501708984375,1496.9918212890625,1536692,0.0,0.0,,0.0208550375602616
2019-10-04,1499.05810546875,1547.390869140625,1496.2763671875,1510.148193359375,1566060,0.0,0.0,0.7398037374379941,0.0073980373743799
2019-10-05,1510.148193359375,1540.305908203125,1489.517822265625,1497.5797119140625,1321624,0.0,0.0,-0.8322680847204469,-0.0083226808472044
2019-10-06,1496.8046875,1559.0634765625,1495.784912109375,1535.4833984375,3331031,0.0,0.0,,0.0258408536935451
2019-10-07,1533.92919921875,1546.6221923828125,1512.7908935546875,1532.6455078125,4016854,0.0,0.0,-0.0836864835028761,-0.0008368648350287
2019-10-08,1532.89208984375,1543.747802734375,1511.4072265625,1530.3182373046875,2249215,0.0,0.0,-0.1679082667407369,-0.0016790826674073
2019-10-09,1529.90966796875,1546.8935546875,1500.340087890625,1520.4644775390625,5673851,0.0,0.0,-0.6173691576331961,-0.0061736915763319
2019-10-10,1516.781005859375,1543.20947265625,1507.6661376953125,1534.4639892578125,3340582,0.0,0.0,1.165823103673342,0.0116582310367334
2019-10-11,1536.0894775390625,1556.0321044921875,1510.6207275390625,1538.6441650390625,4870887,0.0,0.0,0.1663111125591988,0.0016631111255919
2019-10-12,1539.27099609375,1556.969482421875,1509.6527099609375,1518.955810546875,1189723,0.0,0.0,-1.3197926549924868,-0.0131979265499248
2019-10-13,1518.526123046875,1542.7099609375,1509.4923095703125,1530.8951416015625,1973779,0.0,0.0,0.8145410452254488,0.0081454104522544
2019-10-14,1530.8951416015625,1544.6737060546875,1515.289306640625,1538.9613037109375,1861798,0.0,0.0,0.5268918745758444,0.0052689187457584
2019-10-15,1537.5933837890625,1549.1739501953125,1511.889892578125,1532.95361328125,2834839,0.0,0.0,-0.3017553637216362,-0.0030175536372163
2019-10-16,1532.95361328125,1548.059814453125,1513.5914306640625,1525.372802734375,2519667,0.0,0.0,-0.4945231532902329,-0.0049452315329023
2019-10-17,1525.6385498046875,1546.031005859375,1511.017578125,1513.2073974609375,2321023,0.0,0.0,-0.8148163498714318,-0.0081481634987143
2019-10-18,1514.2860107421875,1553.9793701171875,1509.3433837890625,1521.9437255859375,5283331,0.0,0.0,0.5056980510568656,0.0050569805105686
2019-10-19,1519.928466796875,1546.947265625,1512.54638671875,1526.0347900390625,4389881,0.0,0.0,0.4017506991665257,0.0040175069916652
2019-10-20,1525.501953125,1544.898193359375,1511.156005859375,1531.0445556640625,6825304,0.0,0.0,0.3633297569831651,0.0036332975698316
2019-10-21,1531.5469970703125,1540.4984130859375,1511.7076416015625,1528.12646484375,5138334,0.0,0.0,-0.2233383783263338,-0.0022333837832633
2019-10-22,1527.420166015625,1536.1781005859375,1509.7080078125,1513.975341796875,1849206,0.0,0.0,-0.8802308963761882,-0.0088023089637618
2019-10-23,1513.371337890625,1545.3668212890625,1474.06396484375,1498.958984375,16076364,0.0,0.0,-0.9523342457187872,-0.0095233424571878
2019-10-24,1497.7569580078125,1525.0145263671875,1475.79833984375,1484.32080078125,4312836,0.0,0.0,-0.8970852817425145,-0.0089708528174251
2019-10-25,1484.32080078125,1539.35888671875,1482.612548828125,1520.5,1208814,0.0,0.0,,0.024374245243823
2019-10-26,1521.533935546875,1544.947998046875,1387.9765625,1509.3011474609375,681,0.0,0.0,-0.8039773415596378,-0.0080397734155963
