Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return %,Daily Return
2020-05-27,0.5120970010757446,0.5432469844818115,0.4854499995708465,0.5431709885597229,1002734,0.0,0.0,6.067988568318543,0.0606798856831854
2020-05-28,0.5249239802360535,0.7526609897613525,0.5171359777450562,0.7156969904899597,1497134,0.0,0.0,,0.3634297868581225
2020-05-29,0.7035290002822876,0.7359430193901062,0.598908007144928,0.6901609897613525,1286425,0.0,0.0,-1.900136386072388,-0.0190013638607238
2020-05-30,0.6760290265083313,0.9952539801597596,0.6000000238418579,0.87739497423172,433358,0.0,0.0,,0.2978658309443271
2020-05-31,0.8773319721221924,0.8988990187644958,0.6496430039405823,0.7220219969749451,344261,0.0,0.0,,-0.1770253223207693
2020-06-01,0.7242569923400879,0.896232008934021,0.691677987575531,0.7878109812736511,314835,0.0,0.0,8.775060455849946,0.0877506045584994
2020-06-02,0.8019790053367615,0.8948959708213806,0.7271590232849121,0.8159400224685669,358532,0.0,0.0,1.7408207744718962,0.0174082077447189
2020-06-03,0.8159400224685669,0.9019960165023804,0.8012869954109192,0.8863099813461304,339810,0.0,0.0,8.624403380123983,0.0862440338012398
2020-06-04,0.8861719965934753,1.053238034248352,0.8695880174636841,0.9618729948997498,12173673,0.0,0.0,8.542472409111983,0.0854247240911198
2020-06-05,0.9618729948997498,0.9964330196380616,0.8939710259437561,0.9428240060806274,19299709,0.0,0.0,-1.9804058248987093,-0.019804058248987
2020-06-06,0.9419649839401244,1.000048041343689,0.885828971862793,0.9762639999389648,17902313,0.0,0.0,3.641219852501507,0.036412198525015
2020-06-07,0.9762639999389648,0.993577003479004,0.9489690065383912,0.9672189950942992,27509059,0.0,0.0,-0.926491691307999,-0.0092649169130799
2020-06-08,0.9682289958000184,1.001315951347351,0.9476069808006288,0.960864007472992,23647764,0.0,0.0,-0.7606659539193927,-0.0076066595391939
2020-06-09,0.9630200266838074,1.1351419687271118,0.9062399864196776,1.0805660486221311,37298487,0.0,0.0,12.205978970457917,0.1220597897045791
2020-06-10,1.0805920362472534,1.174713969230652,1.006173014640808,1.124372959136963,36952621,0.0,0.0,4.051568160890262,0.0405156816089026
2020-06-11,1.1303019523620603,1.5189199447631836,1.0971440076828003,1.3567670583724976,40283375,0.0,0.0,,0.2003580596646581
2020-06-12,1.3602900505065918,1.502958059310913,1.340093970298767,1.3607549667358398,35232189,0.0,0.0,0.0341777276893928,0.0003417772768939
2020-06-13,1.3562099933624268,1.4715180397033691,1.2557929754257202,1.3051940202713013,31816347,0.0,0.0,-3.761657364332091,-0.0376165736433209
2020-06-14,1.2277469635009766,1.4247679710388184,1.2277469635009766,1.309285044670105,37416716,0.0,0.0,6.641277363587922,0.0664127736358792
2020-06-15,1.3049349784851074,1.382665991783142,1.1279829740524292,1.3591300249099731,33565950,0.0,0.0,4.153084047741634,0.0415308404774163
2020-06-16,1.3579920530319214,1.3989909887313845,1.2129989862442017,1.2923229932785034,31246790,0.0,0.0,-4.835746984439409,-0.048357469844394
2020-06-17,1.292036056518555,1.35024094581604,1.2133320569992063,1.3160810470581057,27651735,0.0,0.0,1.861015442892593,0.0186101544289259
2020-06-18,1.314291000366211,1.3887499570846558,1.2525540590286257,1.3166500329971311,34501750,0.0,0.0,0.1794908913066339,0.0017949089130663
2020-06-19,1.3107060194015503,1.7827680110931396,1.2744790315628052,1.5878469944000244,21078860,0.0,0.0,,0.2114440392400217
2020-06-20,1.5813560485839844,1.6099179983139038,1.4403140544891355,1.493190050125122,6790222,0.0,0.0,-5.575341400047764,-0.0557534140004776
2020-06-21,1.4885979890823364,1.9607030153274536,1.4594990015029907,1.7763780355453491,6106780,0.0,0.0,,0.1933228773474415
2020-06-22,1.7742949724197388,1.9145970344543457,1.671726942062378,1.6833820343017578,9701112,0.0,0.0,-5.123890871087584,-0.0512389087108758
2020-06-23,1.6867530345916748,1.7928630113601685,1.6070849895477295,1.7776470184326172,9137796,0.0,0.0,5.388695438923326,0.0538869543892332
2020-06-24,1.7646909952163696,1.7886929512023926,1.619778037071228,1.6924400329589844,8788152,0.0,0.0,-4.094255733906917,-0.0409425573390691
2020-06-25,1.6954200267791748,1.7165579795837402,1.6156339645385742,1.6684919595718384,7553944,0.0,0.0,-1.5882829494760804,-0.0158828294947608
2020-06-26,1.6656999588012695,1.6725729703903198,1.5359679460525513,1.5517220497131348,7584870,0.0,0.0,-6.842643447632647,-0.0684264344763264
2020-06-27,1.5506600141525269,1.6790729761123655,1.543992042541504,1.5780869722366333,7879193,0.0,0.0,1.76872801476705,0.0176872801476705
2020-06-28,1.5780869722366333,1.6198550462722778,1.4444860219955444,1.5181119441986084,7129911,0.0,0.0,-3.800489395905848,-0.0380048939590584
2020-06-29,1.5181119441986084,1.596276044845581,1.436622977256775,1.5182160139083862,6724869,0.0,0.0,0.0068552065725804,6.855206572580462e-05
2020-06-30,1.510010004043579,1.5632710456848145,1.4109179973602295,1.4313499927520752,6712283,0.0,0.0,-5.209237758747575,-0.0520923775874757
2020-07-01,1.4312609434127808,1.5258949995040894,1.3832060098648071,1.4245870113372805,6345034,0.0,0.0,-0.4662973657051354,-0.0046629736570513
2020-07-02,1.423624038696289,1.5515910387039185,1.400352954864502,1.5515910387039185,5701687,0.0,0.0,8.988819837912938,0.0898881983791293
2020-07-03,1.5557529926300049,1.7824519872665403,1.5411570072174072,1.5668779611587524,6744154,0.0,0.0,0.7150857868472275,0.0071508578684722
2020-07-04,1.5709079504013062,1.8478749990463257,1.555441975593567,1.6984000205993652,7242132,0.0,0.0,8.115820546040894,0.0811582054604089
2020-07-05,1.6937789916992188,1.7896759510040283,1.5930160284042358,1.660578966140747,5517978,0.0,0.0,-1.9601155594192967,-0.0196011555941929
2020-07-06,1.6680190563201904,1.749057054519653,1.6392680406570437,1.7150039672851562,5574142,0.0,0.0,2.8168090038862643,0.0281680900388626
2020-07-07,1.7189569473266602,1.7455650568008425,1.5889610052108765,1.6014870405197144,6173388,0.0,0.0,-6.833789932297969,-0.0683378993229796
2020-07-08,1.6014870405197144,1.6741410493850708,1.523102045059204,1.547144055366516,5922150,0.0,0.0,-3.3932828538882887,-0.0339328285388828
2020-07-09,1.5457149744033811,1.6211609840393066,1.4652869701385498,1.5063170194625854,4185580,0.0,0.0,-2.548849923382712,-0.0254884992338271
2020-07-10,1.5044389963150024,1.674692988395691,1.4864280223846436,1.628986954689026,3058060,0.0,0.0,8.278697818860948,0.0827869781886094
