Date,Open,High,Low,Close,Adj Close,Volume,Daily Return %,Daily Return
2022-03-10,0.135974,0.144942,0.110445,0.117401,0.117401,182075579.0,,-0.1365922897024431
2022-03-11,0.117614,0.164855,0.100344,0.161842,0.161842,285980908.0,,0.3760436682707842
2022-03-12,0.160362,0.312069,0.157085,0.280599,0.280599,1839622749.0,,0.7497848617502898
2022-03-13,0.283932,0.440634,0.254105,0.400181,0.400181,2182535767.0,,0.4094254962455799
2022-03-14,0.398436,0.45025,0.342842,0.35936,0.35936,989370539.0,-9.807346725697478,-0.0980734672569747
2022-03-15,0.359451,0.397739,0.278365,0.333334,0.333334,816119118.0,-7.265802571143215,-0.0726580257114321
2022-03-16,0.333537,0.558385,0.318456,0.551503,0.551503,2170630917.0,,0.6534987122867928
2022-03-17,0.550946,0.843982,0.542046,0.84332,0.84332,2827122661.0,,0.5306763276255747
2022-03-18,0.841984,0.841984,0.658513,0.699771,0.699771,1831394866.0,,-0.1689022594253571
2022-03-19,0.700279,0.770791,0.652115,0.676479,0.676479,878284903.0,-3.3986453970488806,-0.0339864539704888
2022-03-20,0.675276,0.70164,0.574088,0.576605,0.576605,555737571.0,,-0.1461195126141014
2022-03-21,0.576532,0.829834,0.575849,0.789231,0.789231,2120497900.0,,0.3689283508981287
2022-03-22,0.791463,0.885829,0.757397,0.801512,0.801512,1584425009.0,1.2696740087660414,0.0126967400876604
2022-03-23,0.800779,0.8155,0.736887,0.769087,0.769087,683496707.0,-3.957646241971888,-0.0395764624197188
2022-03-24,0.769187,0.787305,0.704538,0.707325,0.707325,451699712.0,-8.042517619252534,-0.0804251761925253
2022-03-25,0.705003,0.796223,0.678182,0.779915,0.779915,569475471.0,,0.1062577038679267
2022-03-26,0.780358,0.83392,0.753338,0.762393,0.762393,459999448.0,-2.302148501072586,-0.0230214850107258
2022-03-27,0.762387,0.791499,0.741751,0.770219,0.770219,286502831.0,1.0272997834433104,0.0102729978344331
2022-03-28,0.770301,1.138456,0.765946,1.138456,1.138456,1707162473.0,,0.4779365468823225
2022-03-29,1.134752,1.845267,1.034175,1.689474,1.689474,3416864700.0,,0.488848664730267
2022-03-30,1.690071,2.289344,1.631717,2.034629,2.034629,4046877890.0,,0.2038719083399452
2022-03-31,2.032697,2.630225,1.800633,2.492016,2.492016,4354715637.0,,0.2259653061917244
2022-04-01,2.489436,3.106005,2.402309,2.690573,2.690573,3944653715.0,8.079621247543626,0.0807962124754362
2022-04-02,2.687481,2.883026,2.280033,2.311964,2.311964,2073394201.0,,-0.1397282436601411
2022-04-03,2.309569,2.739874,2.264528,2.464338,2.464338,2092649856.0,6.701207021743015,0.0670120702174301
2022-04-04,2.45958,2.545606,2.066208,2.169823,2.169823,1450073918.0,,-0.1178075118516168
2022-04-05,2.168886,2.318451,2.102988,2.126772,2.126772,1462868310.0,-1.941734143703275,-0.0194173414370327
2022-04-06,2.12779,2.690389,2.12779,2.305342,2.305342,2842060207.0,8.344432486288587,0.0834443248628858
2022-04-07,2.3122,2.360767,2.021776,2.195577,2.195577,1278763530.0,-5.043811089006129,-0.0504381108900612
2022-04-08,2.194235,2.434764,2.102483,2.175833,2.175833,1283786316.0,-0.8386521954120698,-0.0083865219541206
2022-04-09,2.175664,2.311506,2.114727,2.290985,2.290985,920740995.0,5.300496767883288,0.0530049676788328
2022-04-10,2.292164,2.387724,2.222653,2.269289,2.269289,1057449285.0,-0.997965241579572,-0.0099796524157957
2022-04-11,2.269059,2.636224,2.254135,2.380243,2.380243,1800497534.0,4.900004803753458,0.0490000480375345
2022-04-12,2.381624,2.386824,2.140589,2.224469,2.224469,1183568820.0,-6.598648653187906,-0.065986486531879
2022-04-13,2.222784,2.234246,2.074428,2.174049,2.174049,663482829.0,-2.192520730759253,-0.0219252073075925
2022-04-14,2.174225,2.340282,2.155025,2.227938,2.227938,813366552.0,2.470443491358996,0.0247044349135899
2022-04-15,2.226071,2.323877,2.18651,2.308267,2.308267,619643602.0,3.692424904686315,0.0369242490468631
2022-04-16,2.305977,2.437658,2.244813,2.379899,2.379899,831555557.0,3.2056694407619872,0.0320566944076198
2022-04-17,2.37981,2.593649,2.361106,2.434025,2.434025,1458892339.0,2.278123043436246,0.0227812304343624
2022-04-18,2.434828,3.286047,2.253239,3.18838,3.18838,3912445051.0,,0.3094888016730545
2022-04-19,3.195138,3.812773,3.151029,3.71708,3.71708,4070824155.0,,0.1633550726134521
2022-04-20,3.710729,3.832695,3.322421,3.360322,3.360322,3116796529.0,-9.443077088087009,-0.09443077088087
2022-04-21,3.358945,3.564271,2.99218,3.131248,3.131248,2387726550.0,-6.778824898889385,-0.0677882489888938
2022-04-22,3.127234,3.277053,3.058041,3.177018,3.177018,1538571312.0,1.5919499468220106,0.0159194994682201
2022-04-23,3.175162,3.439252,3.113675,3.145269,3.145269,1498651030.0,-0.941463774131838,-0.0094146377413183
2022-04-24,3.145283,3.370068,3.142898,3.36774,3.36774,1535709117.0,7.072718098816543,0.0707271809881654
2022-04-25,3.364767,3.385321,3.148012,3.282984,3.282984,1388262018.0,-2.4305694866836296,-0.0243056948668362
2022-04-26,3.284799,3.474492,3.181436,3.341784,3.341784,1604980624.0,1.7348093444987065,0.017348093444987
